UF;NOME DO MUNICÍPIO;country;population;ibgeID
PR;Bela Vista do Paraíso;Brazil;15397;4102802
PI;Bela Vista do Piauí;Brazil;4015;2201556
SC;Bela Vista do Toldo;Brazil;6337;4202131
MA;Belágua;Brazil;7469;2101731
PA;Belém;Brazil;1492745;1501402
PB;Belém;Brazil;17676;2501906
AL;Belém;Brazil;4344;2700805
PE;Belém de Maria;Brazil;12073;2601508
PB;Belém do Brejo do Cruz;Brazil;7342;2502003
PI;Belém do Piauí;Brazil;3566;2201572
PE;Belém do São Francisco;Brazil;20729;2601607
RJ;Belford Roxo;Brazil;510906;3300456
MG;Belmiro Braga;Brazil;3429;3106101
BA;Belmonte;Brazil;23328;2903409
SC;Belmonte;Brazil;2706;4202156
BA;Belo Campo;Brazil;17211;2903508
MG;Belo Horizonte;Brazil;2512070;3106200
PE;Belo Jardim;Brazil;76439;2601706
AL;Belo Monte;Brazil;6704;2700904
MG;Belo Oriente;Brazil;26700;3106309
MG;Belo Vale;Brazil;7715;3106408
PA;Belterra;Brazil;17732;1501451
PI;Beneditinos;Brazil;10467;2201606
MA;Benedito Leite;Brazil;5632;2101806
SC;Benedito Novo;Brazil;11652;4202206
PA;Benevides;Brazil;62737;1501501
AM;Benjamin Constant;Brazil;42984;1300607
RS;Benjamin Constant do Sul;Brazil;1994;4302055
SP;Bento de Abreu;Brazil;2980;3506201
RN;Bento Fernandes;Brazil;5497;2401602
RS;Bento Gonçalves;Brazil;120454;4302105
MA;Bequimão;Brazil;21280;2101905
MG;Berilo;Brazil;11932;3106507
MG;Berizal;Brazil;4735;3106655
PB;Bernardino Batista;Brazil;3501;2502052
SP;Bernardino de Campos;Brazil;11148;3506300
MA;Bernardo do Mearim;Brazil;6043;2101939
TO;Bernardo Sayão;Brazil;4459;1703206
SP;Bertioga;Brazil;63249;3506359
PI;Bertolínia;Brazil;5501;2201705
MG;Bertópolis;Brazil;4604;3106606
AM;Beruri;Brazil;19679;1300631
